chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,foil_wt_g,foil_SA_cm2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
Chamber 1,2375,5210,NA,2835,2.835,NA,1,51.557,0.1744,0.0884,0.6147,5.845,13,0.786,2.463,2.1469,2.1238,1.3609,1.3378,28.48717877,0.483543118,9.75,8.8,4,0.008824696,0.5221,93.6224499,31.9881373503323,-12.1469945330879,44.1351318834202,10C,10,91.27444945544691,66.15363999520783,-25.120809460239077,5001.320372216811,3624.8429804644034,-1376.4773917524071,enriched
Chamber 2,1988,4978,NA,2990,2.99,NA,3,14.94,0.0507,0.1028,0.6336,5.8243,12,0.7956,3.0313,2.089,2.0601,1.2934,1.2645,6.374623429,0.142435919,7.7,4.2,4.7,0.0047021779999999996,0.2035,36.4914165,40.24360264771,-15.4073987617491,55.6510014094591,13C,13,390.70904165303347,282.53830164644074,-108.17074000659272,11835.154136967827,8558.502601924045,-3276.651535043782,enriched
Chamber 3,2159,5078,NA,2919,2.919,NA,3,38.888,0.0932,0.1405,0.5311,5.0209,11,0.8097,2.6929,2.2663,2.2442,1.4566,1.4345,21.03466924,0.319144714,7.4,9.2,4.6,0.00776364,0.3652,65.4872988,45.4854376438304,-16.8053467941139,62.290784437944296,13C,13,195.18037337113563,142.52292345293364,-52.65744991820199,8023.399389712081,5858.777280222988,-2164.6221094890925,enriched
Chamber 4,2525,5259,NA,2734,2.734,NA,3,43.745,0.0496,0.1155,0.501,5.148,10,0.8047,3.8588,2.5539,2.5146,1.7492,1.7099,19.82967607,0.445521535,9.5,11.75,6.7,0.013519522,0.5239,93.9452241,70.1141708870153,-23.6133790962414,93.72754998325671,13C,13,210.3771481736718,157.37549226888729,-53.001655904784485,6932.7562012367525,5186.142741364325,-1746.6134598724273,enriched
Chamber 5,2203,5131,NA,2928,2.928,NA,2,25.386,0.043,0.0891,0.611,5.48,9,0.7934,3.9589,2.9101,2.8641,2.1167,2.0707,13.57310015,0.294969815,11.8,6,5,0.008631992,0.284,50.926596,20.763210534662,-15.8248445578591,36.5880550925211,7C,7,124.03999742319769,70.390967071196755,-53.64903035200093,4238.657205952126,2405.37879723035,-1833.278408721776,enriched
Chamber 6,2264,5127,NA,2863,2.863,NA,2,33.571,0.0368,0.1014,0.3987,7.5197,8,0.7946,2.9064,2.4099,2.3832,1.6153,1.5886,18.65787101,0.308404108,6.6,9.5,5.2,0.007796501,0.3941,70.6696179,22.1076867165276,-17.2683843474371,39.3760710639647,7C,7,127.67686954404869,71.68415122579236,-55.992718318256316,5050.479832422865,2835.5908267731384,-2214.8890056497266,enriched
Chamber 7,2235,5129,NA,2894,2.894,NA,2,31.264,0.0428,0.0894,0.7014,5.1021,7,0.8043,3.2748,2.6882,2.6521,1.8839,1.8478,17.98529669,0.344641016,6.8,7.9,5,0.006736911,0.3236,58.0276284,22.5021479907511,-16.2239499978181,38.7260979885692,7C,7,112.36648045562052,65.29155540427928,-47.074925051341246,5748.34638435467,3340.1284343449247,-2408.217950009745,enriched
Chamber 8,1996,4979,NA,2983,2.983,NA,1,27.413,0.0846,0.0886,0.5119,5.3629,6,0.8113,2.3808,1.9927,1.9717,1.1814,1.1604,13.60287223,0.241798135,8,4.6,4.5,0.004980418,0.2693,48.2906067,49.0842656736444,-20.272520388897,69.3567860625414,10C,10,286.83755589157624,202.9968745360439,-83.84068135553238,13925.896593928743,9855.451023115811,-4070.4455708129317,enriched
Chamber 9,2032,5015,NA,2983,2.983,NA,1,25.224,0.0734,0.1401,0.4834,5.7155,5,0.7993,3.343,2.4955,2.4641,1.6962,1.6648,12.79836937,0.236923003,7.5,6.4,4.6,0.005937527,0.2632,47.1967608,23.8893352477849,-12.5419448357985,36.4312800835834,10C,10,153.76843794092633,100.83164127286071,-52.93679666806562,6135.766638801542,4023.4486929970844,-2112.317945804457,enriched
Chamber 10,2350,5217,NA,2867,2.867,NA,3,28.836,0.0697,0.0947,0.461,4.7384,4,0.8089,2.336,2.0367,2.0115,1.2278,1.2026,15.15618185,0.311073288,9.8,8.5,4.4,0.008924421,NA,NA,58.8029193246308,-23.4250219192272,82.227941243858,13C,13,264.33623334401506,189.0323650182101,-75.30386832580494,9213.812441597947,6588.989843109239,-2624.8225984887085,enriched
