chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2930,5591,1,1,2661,2.661,NA,12.3975,0.0672,0.1151,0.8537,2.0323,1,0.7975,2.1166,0.9845,0.8863,0.187,0.0888,1.095309695,0.575184022,12.7,8.255,7.62,0.018799192,45.96400964241162,-11.250209039138417,57.21421868155004,18C,18,99.47115443611895,79.91183322962964,-19.559321206489315,3043.440307516942,2444.999212860405,-598.4410946565372,ambient
2,3073,5700,1,3,2627,2.627,NA,16.8668,0.0632,0.0947,0.8866,2.1198,2,0.7973,2.1294,0.9803,0.915,0.183,0.1177,1.449527754,0.51723586,11.43,11.43,6.985,0.020734662,51.03585633840468,-12.87908179411838,63.914938132523055,18C,18,123.57019896594767,98.67037513293197,-24.899823833015713,3082.516519079166,2461.378745330147,-621.1377737490188,ambient
3,2606,5391,3,1,2785,2.785,NA,12.8711,0.0556,0.0934,0.9898,2.096,3,0.8038,2.2342,0.9817,0.9054,0.1779,0.1016,1.024871851,0.43955999,12.065,9.525,5.08,0.016434201,34.54424151512669,-10.748309735366714,45.2925512504934,21C,21,103.04065947970697,78.58822982302527,-24.452429656681705,2755.993507107124,2101.97267972606,-654.0208273810644,ambient
4,2435,5296,2,4,2861,2.861,NA,10.5136,0.0572,0.0983,1.0249,2.3465,4,0.8035,2.0573,0.9635,0.8946,0.16,0.0911,0.817661984,0.352105692,7.62,8.255,4.445,0.00959992,29.52030910715344,-7.535301798770313,37.05561090592376,15C,15,105.24002237920014,83.83934079416541,-21.400681585034736,3859.9916359640247,3075.0578241436847,-784.9338118203394,ambient
5,2408,5282,1,2,2874,2.874,NA,9.7732,0.0565,0.1022,0.7337,2.4629,5,0.8053,2.2287,0.9962,0.9108,0.1909,0.1055,0.837126522,0.374492431,10.795,8.89,6.35,0.015734565,34.60397649280513,-9.17391611772203,43.77789261052716,18C,18,116.89927215251824,92.4023388147066,-24.49693333781165,2782.275367036023,2199.2331210176535,-583.0422460183697,ambient
6,2435,5266,2,4,2831,2.831,NA,10.0853,0.0557,0.1103,0.697,2.5475,6,0.8051,2.8205,1.05,0.9314,0.2449,0.1263,0.875692243,0.424079624,9.525,8.89,5.08,0.012835685,29.62645318379096,-7.5650133363644985,37.19146652015546,15C,15,87.69925366693747,69.86059104738067,-17.83866261955679,2897.5053937639836,2308.1318358771628,-589.3735578868209,ambient
7,2597,5382,4,1,2785,2.785,NA,12.3649,0.0576,0.1186,0.8218,2.3382,7,0.8029,2.6044,0.9846,0.9007,0.1817,0.0978,0.862656401,0.398331712,10.16,9.525,3.81,0.01286986,47.594203853089745,-14.00194119835687,61.59614505144661,24C,24,154.63530318029666,119.48384328760082,-35.15145989269584,4786.0773195238025,3698.113565578005,-1087.963753945798,ambient
8,2605,5427,4,1,2822,2.822,NA,11.883,0.0397,0.1142,0.8031,2.1064,8,0.8029,2.4126,1.0013,0.9177,0.1984,0.1148,0.977197712,0.411762746,12.065,8.255,6.35,0.016348506,50.12958163952812,-14.490948170311176,64.6205298098393,24C,24,156.93631936736523,121.74384916193492,-35.192470205430325,3952.6871635756384,3066.3096456353946,-886.3775179402435,ambient
9,2571,5375,2,4,2804,2.804,NA,18.0039,0.0602,0.1002,0.8536,3.0014,9,0.8178,2.2514,0.9895,0.91,0.1717,0.0922,1.373043275,0.635742227,10.795,7.62,6.985,0.014935898,27.78956072861777,-7.685280777841855,35.474841506459626,15C,15,55.80066888723379,43.711994497760124,-12.088674389473667,2375.139513302757,1860.5885450354422,-514.550968267315,ambient
10,2685,5473,3,2,2788,2.788,NA,6.9381,0.053900000000000003,0.0949,0.8905,2.4316,10,0.8018,3.1796,1.15,0.9911,0.3482,0.1893,0.759795704,0.346730435,10.795,9.525,4.445,0.014250047,43.30021312524307,-12.336918973925664,55.63713209916873,21C,21,160.46221064836357,124.88148934847057,-35.580721299893,3904.347269813828,3038.601425331655,-865.7458444821735,ambient
