chamber,drained_wt_g,filled_wt_g,Tank_a,Tank_e,water_wt_g,water_volume_L,comments,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,2930,5591,1,1,2661,2.661,NA,12.3975,0.0672,0.1151,0.8537,2.0323,1,0.7975,2.1166,0.9845,0.8863,0.187,0.0888,1.095309695,0.575184022,12.7,8.255,7.62,0.018799192,49.43283756264554,-12.77594159959307,62.208779162238606,18C,18,108.15456755201488,85.9426473474702,-22.21192020454468,3309.1198367588677,2629.5192667134597,-679.6005700454078,enriched
2,3073,5700,1,3,2627,2.627,NA,16.8668,0.0632,0.0947,0.8866,2.1198,2,0.7973,2.1294,0.9803,0.915,0.183,0.1177,1.449527754,0.51723586,11.43,11.43,6.985,0.020734662,63.14950014210095,-17.71903483571567,80.86853497781662,21C,21,156.34750262253013,122.09033639334471,-34.25716622918541,3900.161718470097,3045.600653731464,-854.5610647386328,enriched
3,2606,5391,3,1,2785,2.785,NA,12.8711,0.0556,0.0934,0.9898,2.096,3,0.8038,2.2342,0.9817,0.9054,0.1779,0.1016,1.024871851,0.43955999,12.065,9.525,5.08,0.016434201,37.1379923570374,-11.514244271396741,48.65223662843414,18C,18,110.6839515316991,84.48901902340428,-26.19493250829481,2960.426042521577,2259.7990834502634,-700.6269590713136,enriched
4,2435,5296,2,4,2861,2.861,NA,10.5136,0.0572,0.0983,1.0249,2.3465,4,0.8035,2.0573,0.9635,0.8946,0.16,0.0911,0.817661984,0.352105692,7.62,8.255,4.445,0.00959992,45.760711440749745,-15.563885005787922,61.32459644653767,24C,24,174.16530842829334,129.96299827141033,-44.20231015688301,6388.032030114592,4766.780498248917,-1621.2515318656742,enriched
5,2408,5282,1,2,2874,2.874,NA,9.7732,0.0565,0.1022,0.7337,2.4629,5,0.8053,2.2287,0.9962,0.9108,0.1909,0.1055,0.837126522,0.374492431,10.795,8.89,6.35,0.015734565,32.37944979736248,-9.742024385580393,42.121474182942876,15C,15,112.4761695996544,86.46222758334595,-26.013942016308448,2677.002775923127,2057.8547800566766,-619.1479958664503,enriched
6,2435,5266,2,4,2831,2.831,NA,10.0853,0.0557,0.1103,0.697,2.5475,6,0.8051,2.8205,1.05,0.9314,0.2449,0.1263,0.875692243,0.424079624,9.525,8.89,5.08,0.012835685,43.87315930037878,-15.575277980803108,59.44843728118189,24C,24,140.1822533241585,103.45500424320971,-36.72724908094879,4631.497055371949,3418.0613890399136,-1213.4356663320352,enriched
7,2597,5382,4,1,2785,2.785,NA,12.3649,0.0576,0.1186,0.8218,2.3382,7,0.8029,2.6044,0.9846,0.9007,0.1817,0.0978,0.862656401,0.398331712,10.16,9.525,3.81,0.01286986,39.902076037653444,-12.758899156278051,52.66097519393149,18C,18,132.20382311396662,100.1729835601275,-32.030839553839115,4091.8063750445995,3100.42813501106,-991.3782400335397,enriched
8,2605,5427,4,1,2822,2.822,NA,11.883,0.0397,0.1142,0.8031,2.1064,8,0.8029,2.4126,1.0013,0.9177,0.1984,0.1148,0.977197712,0.411762746,12.065,8.255,6.35,0.016348506,39.075298283930515,-11.36177739231336,50.43707567624388,18C,18,122.49062394839352,94.8976046607444,-27.593019287649106,3085.118339023999,2390.144902777692,-694.9734362463066,enriched
9,2571,5375,2,4,2804,2.804,NA,18.0039,0.0602,0.1002,0.8536,3.0014,9,0.8178,2.2514,0.9895,0.91,0.1717,0.0922,1.373043275,0.635742227,10.795,7.62,6.985,0.014935898,53.58136990727914,-16.835669421211126,70.41703932849026,24C,24,110.76350812935736,84.28159658376623,-26.481911545591142,4714.617047364026,3587.4220557263543,-1127.1949916376723,enriched
10,2685,5473,3,2,2788,2.788,NA,6.9381,0.053900000000000003,0.0949,0.8905,2.4316,10,0.8018,3.1796,1.15,0.9911,0.3482,0.1893,0.759795704,0.346730435,10.795,9.525,4.445,0.014250047,35.265063428707045,-10.807891782160919,46.07295521086796,15C,15,132.87831283362235,101.70743571647249,-31.170877117149864,3233.17917554012,2474.7331309649044,-758.4460445752158,enriched
11,2357,5248,3,3,2891,2.891,NA,7.2569,0.0588,0.1253,1.179,2.0682,11,0.8054,1.8229,0.9745,0.893,0.1691,0.0876,0.67318108,0.324448598,9.525,7.62,10.16,0.017397194,35.483617874401595,-12.237066071164666,47.720683945566265,21C,21,147.08241687506467,109.3659152578665,-37.716501617198134,2743.010392685525,2039.61730118096,-703.3930915045647,enriched
12,2797,5545,1,2,2748,2.748,NA,13.4117,0.0528,0.1091,0.9837,2.0022,12,0.8013,2.6041,1.0188,0.9128,0.2175,0.1115,1.12017386,0.545923812,8.89,8.89,5.715,0.012856025,33.23577095834809,-9.100870525185977,42.336641483534066,15C,15,77.5504576882865,60.87987046505327,-16.670587223233227,3293.136213062285,2585.229179186264,-707.9070338760213,enriched
13,2485,5304,3,3,2819,2.819,NA,10.2887,0.0591,0.1236,0.9954,2.6525,13,0.8123,2.3745,1.0598,0.9366,0.2475,0.1243,1.072416614,0.533825159,10.16,8.255,5.08,0.0127829,38.88763196141837,-14.616501964787957,53.50413392620633,21C,21,100.22782370623773,72.8471322600559,-27.38069144618183,4185.6021658783475,3042.160383122638,-1143.4417827557095,enriched
14,2951,5634,4,3,2683,2.683,NA,17.1187,0.0674,0.0922,1.0161,2.5312,14,0.8068,2.3806,1.0008,0.9164,0.194,0.1096,1.395038142,0.606913501,10.16,9.525,6.35,0.015780741,60.87692015572212,-17.27030404136472,78.14722419708684,21C,21,128.76171656805315,100.30576030260714,-28.45595626544601,4952.063036652515,3857.6718390931146,-1094.3911975593999,enriched
15,3159,5758,2,2,2599,2.599,NA,16.1185,0.0512,0.1152,0.509,2.5667,15,0.8073,2.804,1.1612,0.9872,0.3539,0.1799,2.034357044,1.000220756,13.97,9.525,7.62,0.022270594,49.01576596789012,-10.174817073421583,59.1905830413117,15C,15,59.17751924887239,49.004947831626595,-10.172571417245797,2657.790943578411,2200.9186628740176,-456.8722807043935,enriched
16,2775,5519,4,4,2744,2.744,NA,9.7009,0.0499,0.906,0.9461,2.4447,16,0.8082,2.3874,1.083,0.9537,0.2748,0.1455,1.11661528,0.525394308,12.065,8.89,8.255,0.019806132,54.35189278074834,-14.508382315560631,68.86027509630897,24C,24,131.0639914589805,103.44971758001675,-27.614273878963743,3476.71494344827,2744.195220992586,-732.5197224556834,enriched
