chamber,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
1,11.39231935,0.458918646,0.017601317,48.768636560348796,12.827346634852693,61.59598319520149,13C,13,134.21983118812193,106.26858809382261,27.95124309429932,3499.509905719072,2770.737926051147,728.7719796679246,ambient,0
2,5.515497173,0.340462788,0.013251864,33.39773086082248,9.381917001848747,42.779647862671226,10C,10,125.65146433175312,98.09509890056611,27.556365431186993,3228.1985283482554,2520.228917292124,707.9696110561312,ambient,0
3,4.473079105,0.252409186,0.016095306,53.15346432461887,18.80289537566893,71.95635970028779,16C,16,285.0782130420871,210.584508301607,74.49370474048011,4470.6425401472825,3302.420241318734,1168.2222988285484,ambient,0
4,17.1585816,0.568389011,0.013115778,35.2969623441904,9.697918790899376,44.99488113508977,7C,7,79.16212358843399,62.10000837646454,17.062115211969456,3430.5918516682555,2691.183271338566,739.4085803296896,ambient,0
5,25.37968333,0.511435671,0.015746143,77.19376792563148,29.36826335167704,106.56203127730852,16C,16,208.35862126892695,150.9354397879523,57.42318148097465,6767.500541390264,4902.392155693713,1865.1083856965506,ambient,0
6,5.543601856,0.488730642,0.01104649,30.87023662449758,10.503768596631566,41.374005221129146,10C,10,84.65604909038862,63.16411121301778,21.491937877370837,3745.443595307572,2794.5742606472804,950.8693346602917,ambient,0
7,17.18577958,0.34035459,0.012567151,36.395701871586795,17.771959790466944,54.16766166205374,16C,16,159.15067183919493,106.93465856178638,52.21601327740855,4310.257882797281,2896.0980791578613,1414.1598036394203,ambient,0
8,9.063153269,0.291694233,0.007748686,29.649056929790678,8.366461527417975,38.01551845720866,13C,13,130.32660284788233,101.6443027510615,28.682300096820818,4906.060002587362,3826.333513810042,1079.7264887773197,ambient,0
9,5.998774704,0.474573433,0.016131767,29.08478122202528,9.586126237660457,38.670907459685736,10C,10,81.48561375471209,61.28615552321759,20.199458231494507,2397.1898093795758,1802.950738256093,594.239071123483,ambient,0
10,18.80623723,0.746501428,0.021742777,57.08679053374124,37.53388028316687,94.6206708169081,16C,16,126.75216318127138,76.47244652523456,50.279716656036825,4351.820874440652,2625.551949217031,1726.2689252236212,ambient,0
11,18.25841019,0.388660576,0.016035587,45.782271295121596,11.054665494598408,56.836936789720006,10C,10,146.23797806989307,117.7949967714801,28.44298129841296,3544.4250833923325,2855.0418076445594,689.3832757477733,ambient,0
12,2.67553907,0.2816843,0.012325629,29.83923292114525,8.432743077781655,38.271975998926905,13C,13,135.86833202605507,105.93147335916574,29.936858666889336,3105.072852584392,2420.9095471837786,684.1633054006132,ambient,0
13,7.52181118,0.44317045,0.019878793,27.220251718096513,8.099066434728057,35.31931815282457,7C,7,79.69691605752273,61.421630702355074,18.27528535516765,1776.7335347183591,1369.3110903713577,407.4224443470012,ambient,0
14,8.519086821,0.332113755,0.010970153,45.66255236302215,10.186600079918637,55.84915244294079,13C,13,168.16272015876243,137.49069912211903,30.672021036643415,5091.009436508387,4162.43532455948,928.574111948907,ambient,0
15,4.442330531,0.43213332,0.014322191,19.259696724600115,6.993841117797601,26.253537842397716,7C,7,60.75332918645967,44.568876856337106,16.184452330122568,1833.067150298283,1344.7451388268817,488.3220114714013,ambient,0
16,10.57256535,0.595661117,0.009807548,17.622759682540543,6.770027479540745,24.392787162081287,7C,7,40.950779673069185,29.585210750864814,11.365568922204375,2487.1443058021523,1796.8568374623856,690.287468339767,ambient,0
1,2.191080293,0.13755296,0.013676214,NA,6.32437096988194,NA,7C,7,NA,NA,45.97771629110664,NA,NA,462.43580057184977,enriched,1
2,3.348289228,0.136935709,0.010499673,8.41416366530223,8.088060197236068,16.502223862538298,7C,7,120.51074174186587,61.446088290251815,59.06465345161406,1571.6893147565927,801.3738775771617,770.3154371794311,enriched,1
3,9.07882043,0.249483748,0.011526869,30.4450239962922,11.692371513373136,42.13739550966534,13C,13,168.89835850015103,122.03209323395366,46.86626526619736,3655.5803236477605,2641.222347221279,1014.3579764264811,enriched,1
4,9.403389057,0.319043557,0.012907686,38.7953065457292,13.170466853098997,51.96577339882819,16C,16,162.87987097269038,121.59877764191677,41.281093330773636,4025.9558063953673,3005.5973274938046,1020.3584789015628,enriched,1
5,4.830760768,0.145370116,0.010376843,7.07915879411074,7.279473719613353,14.358632513724093,7C,7,98.77293152689025,48.69748328542808,50.07544824146218,1383.71877783292,682.2073721372425,701.5114056956777,enriched,1
6,4.614392898,0.287595677,0.012479205,24.2532525420041,10.432330223595374,34.68558276559947,10C,10,120.60536906331687,84.33107477482737,36.27429428848951,2779.470548452363,1943.493398978869,835.977149473494,enriched,1
7,9.855008475,0.290356723,0.011049785,32.37376651362,13.688728150897937,46.062494664517935,16C,16,158.64104742812495,111.4965280608295,47.144519367295445,4168.632662492341,2929.8096310127303,1238.8230314796115,enriched,1
8,4.218433451,0.215651577,0.009058575,32.9398843128699,13.07532963117626,46.01521394404616,16C,16,213.37759076088815,152.74585408141903,60.63173667946912,5079.7409022993315,3636.3207582726754,1443.4201440266554,enriched,1
9,7.729513035,0.267737175,0.013364443,37.1830322266328,14.199326841913834,51.382359068546634,13C,13,191.9134280420589,138.8788547075422,53.03457333451671,3844.706365132212,2782.2358347918275,1062.4705303403841,enriched,1
10,6.28154391,0.416214563,0.01272603,32.8072404806286,14.10966716898422,46.916907649612824,13C,13,112.72288819363783,78.82290385074441,33.899984342893404,3686.688436976247,2577.9634717683834,1108.724965207863,enriched,1
11,6.413072241,0.21964746,0.011202224,23.6981059953239,8.252272375186516,31.950378370510414,10C,10,145.46208897890472,107.89155492771872,37.57053405118601,2852.145999804183,2115.482246679222,736.6637531249612,enriched,1
12,3.297965803,0.282800453,0.013676774,26.0122327006708,10.752714094076083,36.764946794746884,10C,10,130.00313968643778,91.9808735266446,38.02226615979318,2688.130022090508,1901.9275086852208,786.2025134052872,enriched,1
13,6.343526809,0.340267885,0.008815914,36.2449344581484,14.337297451933617,50.582231910082015,16C,16,148.65414615922987,106.51882253933074,42.13532361989912,5737.604961899812,4111.30762597598,1626.2973359238326,enriched,1
14,5.75923196,0.29381664,0.014676324,30.9689354146676,8.988995463548354,39.957930878215954,10C,10,135.99614670638107,105.40225160381522,30.593895102565853,2722.611662035804,2110.1288997617935,612.4827622740105,enriched,1
15,3.845243584,0.420846663,0.009975758,21.913367517111,11.49737479543299,33.41074231254399,7C,7,79.38934830652082,52.0697190774945,27.31962922902632,3349.193345763198,2196.6618994878386,1152.5314462753597,enriched,1
16,4.509857081,0.269557078,0.014190019,27.124540045134,11.129728036941092,38.25426808207509,13C,13,141.91527956121817,100.62633207922666,41.28894748199152,2695.857425002397,1911.5224613253865,784.3349636770107,enriched,1
