chamber,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,temp_C,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
1,1.095309695,0.575184022,0.018799192,45.96400964241162,11.250209039138417,57.21421868155004,18C,18,99.47115443611895,79.91183322962964,19.559321206489315,3043.440307516942,2444.999212860405,598.4410946565372,ambient,0
2,1.449527754,0.51723586,0.020734662,51.03585633840468,12.87908179411838,63.914938132523055,18C,18,123.57019896594767,98.67037513293197,24.899823833015713,3082.516519079166,2461.378745330147,621.1377737490188,ambient,0
3,1.024871851,0.43955999,0.016434201,34.54424151512669,10.748309735366714,45.2925512504934,21C,21,103.04065947970697,78.58822982302527,24.452429656681705,2755.993507107124,2101.97267972606,654.0208273810644,ambient,0
4,0.817661984,0.352105692,0.00959992,29.52030910715344,7.535301798770313,37.05561090592376,15C,15,105.24002237920014,83.83934079416541,21.400681585034736,3859.9916359640247,3075.0578241436847,784.9338118203394,ambient,0
5,0.837126522,0.374492431,0.015734565,34.60397649280513,9.17391611772203,43.77789261052716,18C,18,116.89927215251824,92.4023388147066,24.49693333781165,2782.275367036023,2199.2331210176535,583.0422460183697,ambient,0
6,0.875692243,0.424079624,0.012835685,29.62645318379096,7.5650133363644985,37.19146652015546,15C,15,87.69925366693747,69.86059104738067,17.83866261955679,2897.5053937639836,2308.1318358771628,589.3735578868209,ambient,0
7,0.862656401,0.398331712,0.01286986,47.594203853089745,14.00194119835687,61.59614505144661,24C,24,154.63530318029666,119.48384328760082,35.15145989269584,4786.0773195238025,3698.113565578005,1087.963753945798,ambient,0
8,0.977197712,0.411762746,0.016348506,50.12958163952812,14.490948170311176,64.6205298098393,24C,24,156.93631936736523,121.74384916193492,35.192470205430325,3952.6871635756384,3066.3096456353946,886.3775179402435,ambient,0
9,1.373043275,0.635742227,0.014935898,27.78956072861777,7.685280777841855,35.474841506459626,15C,15,55.80066888723379,43.711994497760124,12.088674389473667,2375.139513302757,1860.5885450354422,514.550968267315,ambient,0
10,0.759795704,0.346730435,0.014250047,43.30021312524307,12.336918973925664,55.63713209916873,21C,21,160.46221064836357,124.88148934847057,35.580721299893,3904.347269813828,3038.601425331655,865.7458444821735,ambient,0
11,0.67318108,0.324448598,0.017397194,31.571067087898175,9.141445855384518,40.71251294328269,21C,21,125.48216634082263,97.3068377626282,28.17532857819444,2340.1769816030496,1814.721792945355,525.4551886576949,ambient,0
12,1.12017386,0.545923812,0.012856025,34.9336767321411,9.588128860489551,44.521805592630656,18C,18,81.55314828551691,63.99002198523098,17.56312630028593,3463.108199667522,2717.2999999720832,745.8081996954386,ambient,0
13,1.072416614,0.533825159,0.0127829,36.09434479122424,11.133765804926712,47.22811059615095,21C,21,88.47112167703385,67.61454416805454,20.856577508979324,3694.6319376785355,2823.642897247435,870.9890404311003,ambient,0
14,1.395038142,0.606913501,0.015780741,61.26011482090787,17.95011478274811,79.21022960365599,24C,24,130.51321065216507,100.9371429700785,29.576067682086563,5019.423967712035,3881.9542644358635,1137.4697032761712,ambient,0
15,2.034357044,1.000220756,0.022270594,41.39536080626924,8.825229784680356,50.2205905909496,15C,15,50.2095065411236,41.38622454888272,8.823281992240878,2255.0180112371318,1858.7452497346608,396.27276150247076,ambient,0
16,1.11661528,0.525394308,0.019806132,48.9438428173436,14.59628494179689,63.54012775914049,24C,24,120.93798275245207,93.15640095846567,27.781581793986415,3208.1038215407475,2471.1459469897304,736.9578745510173,ambient,0
1,1.095309695,0.575184022,0.018799192,49.43283756264554,12.77594159959307,62.208779162238606,18C,18,108.15456755201488,85.9426473474702,22.21192020454468,3309.1198367588677,2629.5192667134597,679.6005700454078,enriched,1
2,1.449527754,0.51723586,0.020734662,63.14950014210095,17.71903483571567,80.86853497781662,21C,21,156.34750262253013,122.09033639334471,34.25716622918541,3900.161718470097,3045.600653731464,854.5610647386328,enriched,1
3,1.024871851,0.43955999,0.016434201,37.1379923570374,11.514244271396741,48.65223662843414,18C,18,110.6839515316991,84.48901902340428,26.19493250829481,2960.426042521577,2259.7990834502634,700.6269590713136,enriched,1
4,0.817661984,0.352105692,0.00959992,45.760711440749745,15.563885005787922,61.32459644653767,24C,24,174.16530842829334,129.96299827141033,44.20231015688301,6388.032030114592,4766.780498248917,1621.2515318656742,enriched,1
5,0.837126522,0.374492431,0.015734565,32.37944979736248,9.742024385580393,42.121474182942876,15C,15,112.4761695996544,86.46222758334595,26.013942016308448,2677.002775923127,2057.8547800566766,619.1479958664503,enriched,1
6,0.875692243,0.424079624,0.012835685,43.87315930037878,15.575277980803108,59.44843728118189,24C,24,140.1822533241585,103.45500424320971,36.72724908094879,4631.497055371949,3418.0613890399136,1213.4356663320352,enriched,1
7,0.862656401,0.398331712,0.01286986,39.902076037653444,12.758899156278051,52.66097519393149,18C,18,132.20382311396662,100.1729835601275,32.030839553839115,4091.8063750445995,3100.42813501106,991.3782400335397,enriched,1
8,0.977197712,0.411762746,0.016348506,39.075298283930515,11.36177739231336,50.43707567624388,18C,18,122.49062394839352,94.8976046607444,27.593019287649106,3085.118339023999,2390.144902777692,694.9734362463066,enriched,1
9,1.373043275,0.635742227,0.014935898,53.58136990727914,16.835669421211126,70.41703932849026,24C,24,110.76350812935736,84.28159658376623,26.481911545591142,4714.617047364026,3587.4220557263543,1127.1949916376723,enriched,1
10,0.759795704,0.346730435,0.014250047,35.265063428707045,10.807891782160919,46.07295521086796,15C,15,132.87831283362235,101.70743571647249,31.170877117149864,3233.17917554012,2474.7331309649044,758.4460445752158,enriched,1
11,0.67318108,0.324448598,0.017397194,35.483617874401595,12.237066071164666,47.720683945566265,21C,21,147.08241687506467,109.3659152578665,37.716501617198134,2743.010392685525,2039.61730118096,703.3930915045647,enriched,1
12,1.12017386,0.545923812,0.012856025,33.23577095834809,9.100870525185977,42.336641483534066,15C,15,77.5504576882865,60.87987046505327,16.670587223233227,3293.136213062285,2585.229179186264,707.9070338760213,enriched,1
13,1.072416614,0.533825159,0.0127829,38.88763196141837,14.616501964787957,53.50413392620633,21C,21,100.22782370623773,72.8471322600559,27.38069144618183,4185.6021658783475,3042.160383122638,1143.4417827557095,enriched,1
14,1.395038142,0.606913501,0.015780741,60.87692015572212,17.27030404136472,78.14722419708684,21C,21,128.76171656805315,100.30576030260714,28.45595626544601,4952.063036652515,3857.6718390931146,1094.3911975593999,enriched,1
15,2.034357044,1.000220756,0.022270594,49.01576596789012,10.174817073421583,59.1905830413117,15C,15,59.17751924887239,49.004947831626595,10.172571417245797,2657.790943578411,2200.9186628740176,456.8722807043935,enriched,1
16,1.11661528,0.525394308,0.019806132,54.35189278074834,14.508382315560631,68.86027509630897,24C,24,131.0639914589805,103.44971758001675,27.614273878963743,3476.71494344827,2744.195220992586,732.5197224556834,enriched,1
